yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, sa4_name_2016, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, sa4_code_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
null,null,null,null,null,null,null,null,null,null,3642,null,null,null,null,null,null,null,1452,null,4872,null,null,null,1541,null,null,null,null,null,517,null,null,null,null,5675,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,584,null,null,null,null,null,4219,null,null,null,null,null,null,"Melbourne - Inner",null,null,null,null,null,null,"206",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,2002,null,null,null,null,null,null,null,1279,null,3939,null,null,null,1973,null,null,null,null,null,565,null,null,null,null,4569,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,501,null,null,null,null,null,3297,null,null,null,null,null,null,"Melbourne - Inner East",null,null,null,null,null,null,"207",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,3075,null,null,null,null,null,null,null,1806,null,5156,null,null,null,2096,null,null,null,null,null,793,null,null,null,null,5973,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,641,null,null,null,null,null,4154,null,null,null,null,null,null,"Melbourne - Inner South",null,null,null,null,null,null,"208",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,4105,null,null,null,null,null,null,null,2304,null,6868,null,null,null,3568,null,null,null,null,null,745,null,null,null,null,8456,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1235,null,null,null,null,null,6182,null,null,null,null,null,null,"Melbourne - North East",null,null,null,null,null,null,"209",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,2642,null,null,null,null,null,null,null,1600,null,4998,null,null,null,3222,null,null,null,null,null,552,null,null,null,null,6402,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1138,null,null,null,null,null,4815,null,null,null,null,null,null,"Melbourne - North West",null,null,null,null,null,null,"210",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,3289,null,null,null,null,null,null,null,2266,null,6224,null,null,null,3427,null,null,null,null,null,842,null,null,null,null,7534,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1076,null,null,null,null,null,5269,null,null,null,null,null,null,"Melbourne - Outer East",null,null,null,null,null,null,"211",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,5686,null,null,null,null,null,null,null,3461,null,10453,null,null,null,6576,null,null,null,null,null,880,null,null,null,null,13159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2169,null,null,null,null,null,9701,null,null,null,null,null,null,"Melbourne - South East",null,null,null,null,null,null,"212",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,6461,null,null,null,null,null,null,null,3164,null,11283,null,null,null,6390,null,null,null,null,null,1198,null,null,null,null,14023,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2200,null,null,null,null,null,10850,null,null,null,null,null,null,"Melbourne - West",null,null,null,null,null,null,"213",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,2026,null,null,null,null,null,null,null,1358,null,3536,null,null,null,2054,null,null,null,null,null,368,null,null,null,null,4463,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,744,null,null,null,null,null,3089,null,null,null,null,null,null,"Mornington Peninsula",null,null,null,null,null,null,"214",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
